##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in \ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>. \n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p> \n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
SPOTREP	spot report  <br>
SPP	Security and Prosperity Partnership of North America; shared production program <br>
SPR	software problem report <br>
SPRINT	special psychiatric rapid intervention team  <br>
SPS	special psychological operations (PSYOP) study; standard positioning system  <br>
SPSC	system planning and system control  <br>
SPTCONF	support confirmation  <br>
SPTD	CMD supported command <br>
SPTG	CMD supporting command <br>
SPTREQ	support request  <br>
SR	special reconnaissance  <br>
SR-UAV	short-range unmanned aerial vehicle <br>
SRA	specialized-repair activity  <br>
SRAM	short-range air-to-surface attack missile; system replacement and modernization  <br>
SRB	software release bulletin; system review board (JOPES)   <br>
SRBM	short-range ballistic missile <br>
SRC	security risk category; service reception center; Single Integrated Operational Plan (SIOP) response cell; standard requirements code; survival recovery center <br>
SRCC	service reserve coordination center <br>
SRF	secure Reserve force <br>
SRG	Seabee readiness group; short-range aircraft  <br>
SRI	surveillance, reconnaissance, and intelligence (Marine Corps) <br>
SRIG	surveillance, reconnaissance, and intelligence group (USMC) <br>
SROC	Senior Readiness Oversight Council; Southern Region Operational Center, United States Southern Command <br>
SROE	standing rules of engagement <br>
SRP	Sealift Readiness Program; sealift reserve program; seaward recovery point; Single Integrated Operational Plan (SIOP) reconnaissance plan    <br>
SRP/PDS	stabilization reference package/position determining system  <br>
SRR	search and rescue region <br>
SRS	search and rescue sector <br>
SRSG	special representative of the Secretary-General  <br>
SRT	scheduled return time; special reaction team; standard remote terminal; strategic relocatable target <br>
SRTD	signals research and target development  <br>
SRU	search and rescue unit <br>
SRUF	standing rules for the use of force   <br>
SRWBR	short range wide band radio  <br>
SS	submarine   <br>
SS (number)	sea state (number) <br>
SSA	software support activity; special support activity (NSA); strapdown sensor assembly; supply support activity; supply support area    <br>
SSB	single side band; support services branch; surveillance support branch <br>
SSB-SC	single sideband-suppressed carrier <br>
SSBN	fleet ballistic missile submarine <br>
SSC	small scale contingency; surveillance support center <br>
SSCO	shipper’s service control office <br>
SSCRA	Soldiers and Sailors Civil Relief Act <br>
SSE	satellite communications (SATCOM) systems expert; sensitive site exploitation  <br>
SSF	software support facility <br>
SSI	standing signal instruction <br>
SSM	surface-to-surface missile  <br>
SSMI	special sensor microwave imager <br>
SSMS	single shelter message switch <br>
SSN	attack submarine, nuclear; Social Security number; space surveillance network <br>
SSO	special security office(r); spot security office <br>
SSP	signals intelligence (SIGINT) support plan  <br>
SSPM	single service postal manager <br>
SSPO	strategic systems program office <br>
SSS	Selective Service System; shelter subsystem  <br>
SSSC	surface, subsurface search surveillance coordination  <br>
SST	space support team; special support team (National Security Agency) <br>
SSTR	stability, security, transition, and reconstruction  <br>
ST	short ton; small tug; special tactics; strike team  <br>
ST&E	security test and evaluation <br>
STA	clk station clock <br>
STA	system tape A <br>
STAB	space tactical awareness brief <br>
STAMMIS	standard Army multi-command management information system <br>
STAMP	standard air munitions package (USAF)  <br>
STANAG	standardization agreement (NATO) <br>
STANAVFORLANT	Standing Naval Forces, Atlantic (NATO)  <br>
STAR	scheduled theater airlift route; sensitive target approval and review; standard attribute reference; standard terminal arrival route; surface-to-air recovery; system threat<br>
STARC	state area coordinators <br>
START	Strategic Arms Reduction Treaty <br>
STARTEX	start of exercise <br>
STB	super tropical bleach <br>
STC	secondary traffic channel <br>
STD	sexually transmitted disease <br>
STDM	synchronous time division multiplexer <br>
STE	secure telephone equipment <br>
STEL	STU III Standford telecommunications (secure telephone) <br>
STEP	software test and evaluation program; standardized tactical entry point; standard tool for employment planning      <br>
STG	seasonal target graphic <br>
STICS	scalable transportable intelligence communications system  <br>
STO	special technical operations <br>
STOC	special technical operations coordinator <br>
STOD	special technical operations division <br>
STOL	short takeoff and landing <br>
STOMPS	stand-alone tactical operational message processing system <br>
STON	short ton  <br>
STOVL	short takeoff and vertical landing aircraft <br>
STP	security technical procedure <br>
STR	strength   <br>
STRAPP	standard tanks, racks and pylons packages (USAF)   <br>
STRATOPS	strategic operations division <br>
STREAM	standard tensioned replenishment alongside method  <br>
STS	special tactics squadron <br>
STT	small tactical terminal; special tactics team <br>
STU	secure telephone unit <br>
STU-III	secure telephone unit III <br>
STW	strike warfare  <br>
STWC	strike warfare commander <br>
STX	start of text <br>
SU	search unit  <br>
SUBJ	subject   <br>
SUBOPAUTH	submarine operating authority <br>
SUBROC	submarine rocket  <br>
SUC	surf current  <br>
SUIC	service unit identification code <br>
SUMMITS	scenario unrestricted mobility model of intratheater simulation   <br>
SUPE	supervisory commands program <br>
SURG	surgeon   <br>
SUROBS	surf observation  <br>
SURPIC	surface picture  <br>
SUW	surface warfare  <br>
SUWC	surface warfare commander <br>
SVC	Service   <br>
SVIP	secure voice improvement program <br>
SVLTU	service line termination unit <br>
SVR	surface vessel radar <br>
SVS	secure voice system <br>
SWA	Southwest Asia  <br>
SWAT	special weapons and tactics <br>
SWBD	switchboard   <br>
SWC	strike warfare commander; swell/wave current  <br>
SWI	special weather intelligence <br>
SWO	staff weather officer <br>
SWORD	submarine warfare operations research division  <br>
SWSOCC	Southwest Sector Operation Control Center North American Aerospace Defense Command (NORAD) <br>
SWXS	Space Weather Squadron <br>
SYDP	six year defense plan <br>
SYG	Secretary General (UN) <br>
SYNC	synchronization   <br>
SYS	system   <br>
SYSCON	systems control  <br>
SZ	surf zone  <br>
SecDef	Secretary of Defense <br>
Security	Administration; travel security advisory <br>
SoO	ship of opportunity <br>
Sw	switch   <br>
T	search time available; short ton; trackline pattern   <br>
T&DE	test and diagnostic equipment <br>
T&E	test and evaluation <br>
T-ACS	auxiliary crane ship <br>
T-AGOS	tactical auxiliary general ocean surveillance  <br>
T-AH	hospital ship  <br>
T-AKR	fast logistics ship <br>
T-ASA	Television Audio Support Agency <br>
T-AVB	aviation logistics support ship <br>
T-JMC	theater-joint movement center <br>
T-JTB	Theater-Joint Transportation Board <br>
T-day	effective day coincident with Presidential declaration of a National Emergency and authorization of partial mobilization     <br>
T-net	training net  <br>
T/M/S	type, model, and/or series (also as TMS)   <br>
T/O	table of organization <br>
T2	technology transfer  <br>
TA	target acquisition; target audience; technical arrangement; theater Army; threat assessment <br>
TA/CP	technology assessment/control plan <br>
TAA	tactical assembly area <br>
TAACOM	theater Army area command <br>
TAADS	The Army Authorization Document System  <br>
TAAMDCOORD	theater Army air and missile defense coordinator   <br>
TAB	tactical air base <br>
TAC	tactical advanced computer; terminal access controller; terminal attack control; terminal attack controller <br>
TAC(A)	tactical air coordinator (airborne) <br>
TAC-D	tactical deception  <br>
TACAIR	tactical air  <br>
TACAMO	take charge and move out (E-6A/B aircraft)   <br>
TACAN	tactical air navigation <br>
TACC	tactical air command center (Marine Corps); tactical air control center (Navy); tanker airlift control center     <br>
TACDAR	tactical detection and reporting <br>
TACINTEL	tactical intelligence  <br>
TACLAN	tactical local area network <br>
TACLOG	tactical-logistical   <br>
TACM	tactical air command manual <br>
TACO	theater allied contracting office <br>
TACON	tactical control  <br>
TACOPDAT	tactical operational data <br>
TACP	tactical air control party <br>
TACRON	tactical air control squadron <br>
TACS	tactical air control system; theater air control system  <br>
TACSAT	tactical satellite  <br>
TACSIM	tactical simulation  <br>
TACSTANS	tactical standards  <br>
TACT	tactical aviation control team <br>
TACTRAGRULANT	Tactical Training Group, Atlantic <br>
TAD	tactical air direction; temporary additional duty (non-unit-related personnel); theater air defense; time available for delivery     <br>
TADC	tactical air direction center <br>
TADCS	tactical airborne digital camera system  <br>
TADIL	tactical digital information link <br>
TADL	tactical digital information link <br>
TADS	Tactical Air Defense System; target acquisition system and designation sight <br>
TAES	theater aeromedical evacuation system <br>
TAF	tactical air force <br>
TAFDS	tactical airfield fuel dispensing system  <br>
TAFIM	technical architecture framework for information management <br>
TAFS	tactical aerodrome forecasts <br>
TAFT	technical assistance field team <br>
TAG	technical assessment group; the adjutant general; Tomahawk land-attack missile aimpoint graphic <br>
TAGS	theater air ground system <br>
TAI	International Atomic Time; target area of interest; total active inventory <br>
TAIS	transportation automated information systems <br>
TAK	cargo ship  <br>
TALCE	tanker airlift control element <br>
TALD	tactical air-launched decoy <br>
TALON	Threat and Local Observation Notice  <br>
TAMCA	theater Army movement control agency  <br>
TAMCO	theater Army movement control center  <br>
TAMD	theater air and missile defense  <br>
TAMMC	theater army material management command  <br>
TAMMIS	theater Army medical management information system <br>
TAMS	transportation analysis, modeling, and simulation  <br>
TAO	tactical actions officer <br>
TAOC	tactical air operations center (USMC)  <br>
TAP	troopship   <br>
TAR	tactical air request; Training and Administration of the Reserve <br>
TARBS	transportable amplitude modulation and frequency modulation radio broadcast system <br>
TARBUL	target bulletin  <br>
TARE	tactical record evaluation <br>
TAREX	target exploitation; target plans and operations <br>
TARS	tethered aerostat radar system <br>
TARWI	target weather and intelligence <br>
TAS	tactical atmospheric summary; TRUE air speed <br>
TASCID	tactical Automatic Digital Network (AUTODIN) satellite\ncompensation interface device<br>
TASCO	tactical automatic switch control officer  <br>
TASIP	tailored analytic intelligence support to individual electronic warfare and command and control warfare projects      <br>
TASKORD	tasking order  <br>
TASMO	tactical air support for maritime operations <br>
TASOSC	theater Army special operations support command <br>
TASS	tactical automated security system; tactical automated switch system  <br>
TAT	tactical analysis team; technical assistance team <br>
TATC	tactical air traffic control <br>
TAW	tactical airlift wing <br>
TBD	to be determined <br>
TBM	tactical ballistic missile; theater ballistic missile <br>
TBMCS	theater battle management core system  <br>
TBMD	theater ballistic missile defense <br>
TBP	to be published <br>
TBSL	to be supplied later <br>
TBTC	transportable blood transshipment center <br>
TC	tidal current; transmit clock and/or telemetry combiner; training circular; Transportation Corps (Army) <br>
TC-ACCIS	Transportation Coordinator’s Automated Command and Control Information System  <br>
TC-AIMS	II Transportation Coordinator’s Automated Information for Movement System II <br>
TC-AIMS	Transportation Coordinator’s Automated Information for Movement System   <br>
TCA	terminal control area; time of closest approach; traditional combatant commander activity <br>
TCAM	theater Army medical management information system (TAMMIS) customer assistance module <br>
TCC	transmission control code; transportation component command <br>
TCCF	tactical communications control facility <br>
TCEM	theater contingency engineering management <br>
TCF	tactical combat force; technical control facility <br>
TCM	theater construction manager <br>
TCMD	transportation control and movement document  <br>
TCN	third country national; transportation control number <br>
TCS	theater communications system <br>
TCSEC	trusted computer system evaluation criteria  <br>
TD	temporary duty; theater distribution; timing distributor; total drift; transmit data <br>
