##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
MARTD	Marine Air Reserve Training Detachment <BR>
MARTS	Multiple Agile Radar Target Simulator <BR>
MARTU	Marine Air Reserve Training Unit <BR>
MARV	Mobile Armored Reconnaissance Vehicle
MAS	Mine Avoidance Sonar
MASDC	Military Aircraft Storage and Disposition Center
MASINT	Measurement And Signature Intelligence<BR><A href='http://www.periscope.ucg.com/terms/t0000175.html'> </A><BR>
MASS	Marine Air Support Squadron <BR>
MAT	Missile Assist Team <BR>
MATACQ	Material Acquisition <BR>
MATCS	Marine Air Traffic Control Squadron <BR>
MATCU	Marine Air Traffic Control Unit <BR>
MATE	Modular Automatic Teat Equipment <BR>
MATF	Missile Assembly and Test Facility
MATMEP	Maintenance Training Management and Evaluation Program
MATS	Military Air Transportation Service
MATVAQWINGPAC	Medium Attack Tactical Electronic Warfare Wings Pacific
MATWING	Medium Attack Wing
MAU	Marine Amphibious Unit, changed to MEU in 1988
MAVERICK	Air Force TV or IR Guided Missile
MAVSO	MAVERICK Support Office
MAW	Marine Aircraft Wing
MAWTS	Marine Aviation Weapons and Tactics Squadron
MAWTU	Marine Air Weapons Training Unit; Marine Air Wing Training Unit
MAWTULANT	Marine Air Weapons Training Unit Atlantic
MAWTUPAC	Marine Air Weapons Training Unit Pacific
MAX	Maximum
MAX TAKE-OFF WGT	MAXIMUM TAKE-OFF WEIGHT
MAX TTR	Maximum-Time-To-Restore
MB	Memory Buffer
MBA	Make or Buy Decision
MBAM	Main Beam Avoidance Maneuver
MBC	Military Budget Committee
MBFR	Mutual and Balanced Force Reductions
MBL	Master Bidders List
MBO	Management By Objective
Mbps	Megabytes per second
MBS	Manufacturing Breakdown Structure
MBT	Main Battle Tank
MBTS	Missile BIT Test Set
MC	Military Committee
MC&G	Mapping Charting &amp; Geodesy
MCA	Missile Control Assembly; Military Coordinating Activity; Minor CONUS Activities
MCAF	Marine Corps Air Facility
MCAS	Marine Corps Air Station
MCB	Maintenance Cycle Base; Maintenance Control Board; Mobile Construction Battalion; Marine Corps Base
MCC	Military Coordinating Committee
MCCDC	Marine Corps Combat Development Command
MCCIS	Maritime Command and Control Information System
MCCRTG	Marine Corps/Combat (Crew) Readiness Training Group
MCD	Military and Civil Defence Assets
MCDEC	Marine Corps Development and Education Command
MCE	Modular Control Equipment; Maximum Credible Event
MCEB	MILITARY COMMUNICATIONS-ELECTRONICS BOARD
MCF	Master Control File; Maintainability Consideration Form
MCG	Mediterranean Cooperation Group
MCL	Master Configuration List; Maximum Contaminant Level
MCLB	Marine Corps Logistics Base
MCM	Mine Countermeasures
MCMC	Marine Corps Maintenance Contractor
MCMFORMED	Mine Countermeasure Forces Mediterranean
MCMFORNORTH	Mine Countermeasure Forces North
MCMSS	Master Configuration Management Scheduling System
MCMT	Mean Corrective Maintenance Time
MCO	Municipal Community Officers [in Kosovo]<BR><BR>Alt.<BR>Marine Corps Order; <BR><BR>Alt.<BR>Movement Control Officer
MCON	Military Construction, Navy
MCOTEA	Marine Corps Operational Test and Evaluation Activity
MCP	Military Construction Program; Mission Concept Paper; Manufacturing Change Point; Maintenance Change Procedure; Marine Corps Property
MCPO	Master Chief Petty Officer
MCR	Manual Change Request
MCRC	Master Component Rework Capability
MCRDA	Marine Corp Research and Development Acquisition
MCRDAC	Marine Corps Research &amp; Development Acquisition Command
MCRL	Master Cross Reference List; Master Component Repair List
MCRS	Material Condition Reporting Status
MCS	Maneuver Control System
MCSP MLAG	Computer Software Program
MCSTS	Missile Control System Test Set
MCTL	Military Critical Technology List
MCTSSA	Marine Corps Tactical Systems Support Activity
MCU	Maintenance Coordinator Unit
MD	SPR- Maintainability Design - Supportability Problem Report
MDA	Manufacturing Data Acquisition
MDAC	E- McDonnell Douglas Aircraft Company (East)
MDAP	Mutual Defense Assistance Program
MDC	Maintenance Data Collection; McDonnell Douglas Corp
MDCC	Maintenance Data Collection Center
MDCF	Maintenance Data Collection Form
MDCS	Maintenance Data Collection System (Obsolete, see MDS)
MDD	Maintenance Due Date
MDETR	Mean-Direct-Effort-To-Repair
MDEU	Material Delivery Expeditor Unit
MDF	Master Data File
MDI	Miss Distance Indicator
MDL	Management Data List
MDMSC	McDonnell Douglas Missile Systems Corporation (Formerly MDAC)
MDP	Master Data Package; MIARS Data Package
MDR	Maintenance/Master Data Report/Reporting; Material Deficiency Report
MDS	Maintenance Data System; Microprocessor Development System, Mission, Design Series; Minimum Detectable Signal
MDT	Maintenance Down Time; Mean Down Time
MDT/OH	Mean Down Time Per Operating Hour
MDU	Missile Dummy Unit; Material Delivery Unit
MDZ	Maritime Defense Zone<BR><A href='http://www.periscope.ucg.com/terms/t0000181.html'> </A><BR>
ME	Maintenance Engineer
MEA	Maintenance Engineering Analysis
MEAD	Maintenance Engineering Analysis Data
MEADS	Medium Extended Air Defense System
MEAL	Mobile Equipment Allowance List
MEAR	Maintenance Engineering Analysis Records
MEASURE	Metrology Automated System for Uniform Recall and Reporting
MEAWS	Maintenance Engineering Analysis Work Sheet
MEB	Marine Expeditionary Brigade (USMC), formerly MAB
MEC	Municipal Elections Commission <BR><BR>Alternatives: <BR><BR>Military Essentiality Codes; <BR>Metrology Engineering Center; <BR>Meteorological Equipment Change
MECCA	Mechanical and Electrical Computer Controlled Analysis
MECFA	Maintenance Engineering Cognizant Field Activity
Mech	Mechanized
MECL	Motorola Emitter-Coupled Logic
MED	Mediterranean, Medical
MED-ALTITUDE BOMB	MEDIUM-ALTITUDE BOMBING
MEDALS	Military Engineering Data Asset Locator System
Medevac	Medical evaluation
MEDVAC	Medical Evacuation
MEECN	Minimum Essential Emergency Communications Network
MEEL	Mission Essential Equipment List
MEF	Marine Expeditionary Force (USMC), formerly MAF<BR><A href='http://www.periscope.ucg.com/terms/t0000184.html'> </A><BR>
MEGS	Missile End Game Scoring
MEI	Maintenance End Item; Maintenance Engineering Inspection
MEIDS	Miniaturized Electronic Information Delivery System (Army)
MEL	Main Event List
MELLON Gulf	War VII Corps phase line
MENDS	Mission Elements Needs Statement
Menig	Swedish military rank (enlisted personnel), <BR> <BR> <BR>UK: <BR>Private <BR> <BR> <BR>USA: <BR>Private <BR> <BR>For a full list of Swedish ranks click here: <A href='bword://smrs'>Swedish military ranks</A> <BR>
MENS	Mission Element Need Statement - (Replaced by JMSNS)
MEP	Micro-circuit Emulation Program
MEPP	Mobile Electric Power Plant
MER	Multiple Ejector/Ejection Rack
MERT	Maintenance Engineering Review Team
MES	Multiple Environment Simulator
MESA	Maintenance Engineering Support Analysis
MESIM	Military Essential Subsystems Inoperative Maintenance
MESL	Military Essential Subsystems List
MESM	Mission Essential Subsystem Matrices
MESS	Maintenance Engineering Support Subsystem
MET	Mobile Environmental Team (US)
META	MAVERICK Engagement Training Aid
METCAL	Metrology and Calibration
METER	Metrology Equipment Recall
METOC	Meteorology and Oceanography
METR	Marine Environmental Test Range
METRI	Military Essentiality Through Readiness Indices
METRIC	Mulit-Echelon Technique for Recoverable Interm Control
METRL	Metrology Requirement Listing
METS	Modular Engine Test System; Mobile
MEU	Marine Expeditionary Unit (USMC), formerly MAU
MF	Medium Frequency
MFCS	Microprocessor Flight Control System
MFD	Multifunction Display
MFE	Ministry of Finance and Economy
MFG	Manufacturer
MFH	Missile Flying Hours
MFHBF	Mean Flight Hours Between Failures
MFI	Major Force Issues
MFO	Multinational Forces and Observers
MFR	Multiple Frequency Repeater
MFS	Monohull Fast Sealift
MFSA	Missile Flight Safety Analysis
MFSO	Missile Flight Safety Officer
MG	Military Government
Mg/m3	Milligram per Cubic Meter
MGB	Motor Gunboat (not USN ship designation)
MGE	Maintenance Ground Equipment
MGFEL	Master Government Furnished Equipment List
MGMT	Management
MGRS	Military Grid Reference System
MGS	Missile Guidance Set
MGSS	Missile Guidance Set Sections
MGTOW	Maximum Gross Take-off Weight
MGU	Midcourse Guidance Unit
MH	Manhour
MHA	Manhour Accounting
MHAC	Manhour Accounting Card
MHD	Magnetohydrodynamic
MHE	Material Handling Equipment
MHU	/M- Munitions Handling Unit, Moveable But Not Self Propelled
MHz	Megahertz
MI	Military Intelligence
MIAC	Material Identification Accounting Code
MIAPL	Master Index of Allowable Parts List
MIARS	Maintenance Information Automated Retrieval System
MIC	Management Information Center; Microwave Integrated Circuits; Master Index of Consumables
MICAH	UN mission to Haiti
MICAP	Mission Capability
MICHAELMAS	World War II code name for the task force for the seizure of Saidor on New Guinea
MICO	Maintenance Interservice Coordinating Office
MICOM	Missile Command (USA)
MICRL	Mirocomputer Individual Component Repair List
MIDAS	Maintenance Information Data Automation System
MIDEASTFOR	US Middle East Force
MIDPAC	Middle Pacific
MIDS	MPAC Information Data System (Army)
MIF	Master Item File
MIG	Mikoyan-Gurevich (Soviet Aircraft)
MIGA	Multilateral Investment Guarantee Agency
MIKE FOUR	World War II plan for the invasion of Nasugbu and Balayan Bays
MIKE ONE	World War II plan for the invasion of Lingayen Gulf
MIKE SEVEN	World War II plan for the invasion of the Zambales coast
MIKE SIX	World War II plan for the invasion of Batangas and Tayabas Bays
MIKE THREE	World War II plan for the invasion of Vigan
MIKE TWO	World War II plan for the invasion of Dingalan Bay
MIL	Main Incident List
MIL CAPABILITY	MILITARY CAPABILITY
MIL DEPARTMENT	(US) MILITARY DEPARTMENT
MIL INTELLIGENCE	MILITARY INTELLIGENCE
MIL OCCUPATION	MILITARY OCCUPATION
MIL POSTURE	MILITARY POSTURE
MIL-STD	Military Standard
MILCON	Military Construction (funding)
MILES	Multiple Integrated Laser Engagement System<BR><A href='http://www.periscope.ucg.com/terms/t0000190.html'> </A><BR>
MILHBK	Military Handbook
MILOC	Military Oceanography
MILPERS	Military Personnel
MILREP	Military Representative (to the MC)
MILS	Missile Impact Location System
MILSPEC	Military Specification
MILSPOT	Military Standard Purchase Operating Technique
MILSTAAD	Military Standard Activity Address Directory
MILSTAMP	Military Standard Transportation and Movement Procedures
Milstar	Military Strategic and Tactical Relay System
MILSTEP	Military Standard Transportation and Movement Procedure
MILSTICCS	Military Standard Item Characteristics Coding Structure
MILSTRAP	Military Standard Transaction Reporting, (Requisitioning) and Accounting Procedures
MILSTRIP	Military Standard Requisitioning and Issue Procedure (s)
MILVANS	Military Vans
MIM	Maintenance Instruction Manual
MIMIC	Micro-Millimeter Wave Monolithic Integrated Circuits
MINCEMEAT	World War II cover plan to divert attention from Operation <A href='bword://HUSKY'>HUSKY</A> to induce the Axis to believe that Allied objectives were Sardinia and the Peloponnesus instead of Sicily
MINERVA	World War II code name for the 6 November 1942 embarkation of General Henri Giraud from southern France
MINNESOTA	Gulf War code name for a VII Corps phase line
MINUGUA	UN mission to Guatemala
MINURCA	United Nations Mission to Central African Republic <BR> <BR>MINURCA was deployed in April 1998 to assist in maintaining and enhancing security and stability in Bangui and vicinity; supervise, control storage, and monitor the disposition of weapons retrieved in disarmament exercise; assist in capacity-building of national police; provide advice and technical support for legislative elections. Later, MINURCA was also mandated to support the conduct of presidential elections and supervise the destruction of confiscated weapons. <BR> <BR>Duration: April 1998 – February 2000 <BR> <BR>UN Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/car.htm'>www.un.org/Depts/DPKO/Missions/car.htm</A>
MINURSO	United Nations Mission for the Referendum in Western <BR> Sahara <BR> <BR> Following the agreement between the Government of Morocco and the Frente POLISARIO, MINURSO was deployed in September 1991 to monitor the ceasefire and to organize and conduct a referendum which would allow the people of Western Sahara to decide the Territory's future status. <BR>Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/minurso/body_minurso.htm'>www.un.org/Depts/DPKO/Missions/minurso/body_minurso.htm</A> <BR>
MIO	Maritime Interdiction Operations
MIP	Model Installation Program
MIPONUH	UN mission to Haiti
MIPR	Military Interdepartment (al) Purchase Request
MIPS	Millions of Instructions Per Second
MIR	Master Index of Repairables; Multiple Instrumentation Radar
MIRACL	Mid-Infrared Advanced Chemical Laser (USN)
MIRF	Maritime Immediate Reaction Force
MIRR	Material Inspection and Receiving Report
MirSIP	Mirage Safety Improvement Program
MIRV	Multiple Independently - Targetable Reentry Vehicle
MIS	Management Information (Sub)System (ILSS)
MISG	Maintenance Interservice Support Group
MISMO	Maintenance Interservice Support Management Office
MISO	Maintenance Interservice Support Office
MISP	Management Information System Plan
MISSILEX	Missile Exercise
MIT	Missile Interface Test; Massachusetts Institute of Technology
MITS	Missile Interface Test Set
MIU	Mission Initialization Unit (SLAM)
MIUW	Mobile Inshore Undersea Warfare (USN)
Mk	Mark
MKRS,MLM	Marine Location Markers
ML	N- Management Data List-Navy
MLA	Mission Load Allowance
MLAG	Memory Loader Adapter Group
MLC	Mainlobe Clutter; Management Level Code
MLCAD	Maintenance and Logistics Factors in Computer-Aided Design (AF)
MLCLE	Main Lobe Clutter Leading Edge
MLDT	Mean Logistic Delay Time
MLG	Main Landing Gear
MLITS	Mission Loading Interface Training Simulator
MLL	Mission Operating Area; Mission of Aircraft
MLM	Military Liaison Mission
MLO	Military Liaison Officer
MLOS	Memory Loader Operational Software
MLRP	Marine Corps Long Range Plan
MLRS	Multiple Launch Rocket System
MLSC	Measured Logistic Support Cost
MLSF	Mobile Logistic Support Force
MLSR	Missing, Lost, Stolen, and Recovered
MLSS	Mobile Logistics Support Ship
MLT	Mobile Land Target
MLU	Mid-life Update
MLV	Memory Loader Verifier
MM	Minuteman (Missile)
MM (mm)|MM	Millimeter; Model Manager; Man-on-the-Move Communications, Mickey Mouse; Martin Marietta
MMAC	Material Management Aggregate Coded
Mmax	Maximum Active Corrective Maintenance Time
MMC	MPF Maintenance Cycle
MMCCs	Maintenance Material Control Centers
MMCO	Maintenance Material Control Officer
MMF	Mobile Maintenance Facility; Missile Maintenance Facility
MMH/FH	Maintenance Man-Hours per Flight Hour (Aircraft)
MMH/FM	Mean Man-hours per Flight Hour
MMH/MA	Mean Man-hours per Maintenance Action
MMH/OH	Mean Man-hours per Operating Hour
MMHTR	Mean Man-hours to Repair
MMI	Multi-Hazard Mapping Initiative (The Multihazard Mapping Initiative, Phase 1 (MMI-1), sponsored by the US Federal Emergency Management Agency (FEMA), will establish a standards-based framework of interoperable services to illustrate the advantages of using products with OGC interfaces to access, fuse and visualize critical spatial information in support of FEMA multi-hazard mitigation, response and recovery functions. http://ip.opengis.org/mmi/)
MMIC	Maintenance Management Information Center
MMM	Maintenance and Material Management (3M)
MMP	Master Mobilization Plan
MMPD	Material Movement Priority Designator
MMQ	Merchant Marine Qualified
MMS	Multi-Mode Seeker (Raytheon)
MMTR	Mean Man-hours to Repair
MMU	Missile Maintenance Unit (now NAWMU)
MMW	milimetre-wave radar
MMWG	Military Mobilization Working Group
MNB	Multi-National Brigade
MNB(C)|MNBc	Multi-National Brigade Centre [in Kosovo]
MNB(E)|MNBe	Multi-National Brigade East [in Kosovo]
MNB(N)|MNBn	Multi-National Brigade North [in Kosovo]
MNB(S)|MNBs	Multi-National Brigade South [in Kosovo]
MNB(W)|MNBw	Multi-National Brigade West [in Kosovo]
MNC	Major NATO Command/Commander
MND(C)|mndc	MULTINATIONAL DIVISION CENTRAL (AIRMOBILE) <BR><BR><IMG src='247B1810.bmp' align='center' width='107' height='144'><BR>Short description of Division Badge <BR>The green colour of the background symbolises hope and faith in the future. The NATO star indicates that the MND(C) is a NATO force. The four contributing nations’ flags demonstrate the collective will of the countries to act as one on behalf of NATO and, at the same time identify the Division as being truly multinational. The representation of an attack helicopter shows the Division’s ability to respond with airmobility, speed and power against any aggressor. Finally, the letters MND denote the formation title, the Multinational Division. <BR><BR>For a full description see <A href='http://www.arrcmedia.com/New%20web%202/Divisions/divisions/Mndfash.htm'>homepage</A> <BR><BR>
