##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
Slush|Slash|Slushy|áøã	ברד (משקה)
Smallage|lovage|smallage|smellage	סלרי בר, קרוי גם לובג'
Smearing|smear|smearing	מריחה<BR>(פ') למרוח
Smell|smell	ריח (קונוטציה שלילית), חוש הריח<BR>(פ') להריח
Smelly|smelly	מדיף ריח רע, מסריח
Smelt|smelt	(פ') להתיך, לזקק
Smith Apple|SmithApple	תפוח עץ ירוק מסוג סמיט
Smoke point|smoke point|smokepoint	הנקודה בה שומן שמחומם מחל להפיץ עשן וריחות לא נעימים הנספגים במזון.
Smoked|SMOKE|SMOKED	מעושן<BR>עשן<BR>(פ') לעשן
Smooth|smooth	חלק ושווה
Smoothie|Smoothies|smoothee|smoothees	מן שייק פירות סמיך על בסיס יוגורט, גלידה או קרח
Smoothly|smoothly	באופן חלק, למישרין
Smorgasbord|smorgasbord	בופה מגוון (סוגי מאכלים רבים)
Smorrebrod|smorrebrod	סנדביץ' דני פתוח
Snack|Snacks	חטיף<BR>(פ') לנשנש בחופזה
Snail|Snails	חלזון, שבלול (למאכל)
Snapper|snapper	סוג של דג מאכל
Snickerdoodle|snickerdoodle	עוגייה שמקורה בניו אינגלנד
Snifter|snifter	כוסית ברנדי בעלת רגל קצרה וצורת אגס
Snook|snook	זן של דגי חרב למאכל
Snow|snow	קינוח מקורר מקצף ביצים, ג'לטין וסוכר (לא אפוי)
Snow Peas|Snow Pea|SnowPea|SnowPeas	אפונה סינית (תרמילים שטוחים ירוקים)
Soaked|soak|soaked	ספוג, שהושרה, רווי, רטוב לגמרי<BR>(פ') להשרות, להספיג, לשרות, לספוג
Soba|Chasoba|soba	אטריות יפניות חומות כהות מקמח חיטה וכוסמת.<BR><B>Chasoba</B> הן אטריות סובה עם תה ירוק<BR>
Soda|soda	משקה מוגז, גזוז, מי סודה, סודה<BR>בארה"ב כשמזמינים "סודה" הכוונה לקולה !<BR>בנוסף זהו שם נרדף לאבקת אפיה.
Sofrito|soffrito|sofrito	רוטב בשר חזיר וירקות, על בסיס גרגרי אנטו מוקפצים בשומן חזיר<BR>מספרדית - (פ') לטגן קלות על אש גבוהה (מעט שמן ובחישה מתמדת)<BR>
Soft drinks|soft drink|soft drinks|softdrink|softdrinks	משקאות קלים
Soft-shell|Softshell	שריון רך
Softened|Soften	מרוכך<BR>(פ') לרכך
Sole|Sogliola|Sol|ñåì	סול (דג מאכל)
Solidify|solidify	(פ') למצק, להתמצק, להפוך למוצק
Somen|somen	אטריות אורז\\חיטה יפניות עדינות ודקות<BR><I>tamago Somen</I> הן ורסיה צהבהבה של סומן עם חלמונים<BR>
Soncoya|Annona purpurea|Annonapurpurea	סינקויה, צ'ינקויה (פרי ממשפחת האנונה)
Sopaipilla|sopaipilla	כרית בצק מתוקה פריכה מטוגנת המוגשת לצד דבש\\סירופ קינמון או אניס כקינוח
Sorbet|sorbe|ñåøáä|ùøáè	סורבה, שרבט, גלידת פירות על בסיס מים<BR>מוגש כמנה אחרונה או כמנת ביניים במסעדות יוקרתיות מאחר ומנטרל את החיך ומאפשר חווייה שלמה של המנה הבאה.
Sorbitol|ñåøáéèåì	סורביטול (ממתיק מלאכותי)
Sorghum|ãåøä	דורה (דגן)
Sorrel|Sorel|dock|sour grass	ירק עלים אביבי חמצמץ<BR>במטבח הצרפתי משתמשים בו לתיבול דגים (מבושל)
Soubise|soubise	סוביז <BR>1. רוטב עשיר וקטיפתי המשלב רוטב בשמל עם פירה מבצלים מבושלים<BR>2. תוספת למנה בשרית של אורז ופירה בצלים.<BR>3. מינוח קולינרי לכל מנה אליה מתלווה רוטב בצלים שמנתי.
Souffle|Souffles|souffl?s|soufflé	סופלה, תפיחה
Soup|Zuppa|sopa|soupe|îø÷	מרק
Sour|sower|çîåõ	חמוץ<BR>(פ') להחמיץ, לגרום להחמצה
Sour cream|sourcream|sower cream|ùîðú çîåöä	שמנת חמוצה
Sourdough Bread|Sourdough|SourdoughBread	לחם שאור (טעמו חמצמץ, מתאים כ"קערה" למרקים)
Soursop|Anona Muricata|AnonaMuricata|Guanabana|Sour sop|Sowersop|âåàðáðä	גואנבנה, סוג של אנונה ענקית (פרי)<BR>פרי ירוק עם בליטות קוציות "כמו של קיפוד"
Sous vide|sous vide|sousvide	מינוח צרפתי ל"בואקום"
Southern Comfort|SouthernComfort	ליקר על בסיס בורבון ואפרסקים
Souvlaki|sooflaki|souflaki|souvlakia|suflaki|ñåôì÷é	סופלקי - קבבוני בשר טלה יווניים
Soy|soi|soja|soya|ñåéä	סויה (רוטב, פולים)
Soy milk|soimilk|soymilk|çìá ñåéä	חלב סויה
Soybeans|soi|soy beans|soybean|soybeans	פולי-סויה
Spaghetti|Spageti|Spagetti|Spagheti|ñôâèé	ספגטי
Spanakopita	פאי תרד יווני
Spanikopita|spanikopita	משולשי תרד וגבינה ספרדיים
Spare Rib|Spare Ribs|SpareRib|SpareRibs	צלעות
Sparingly|sparingly	בחסכנות, בצמצום
Spatlese	מינוח גרמני לענבים שנבצרו בסוף עונת הבציר, לכן הם מלאי סוכר והיינות המופקי מהם מתוקים במיוחד
Spatula|spatula	מרית (כף למריחה מגומי\\פלסטיק, למשל עבור קרם של עוגה)
Spearmint|spearmint	נענע (עשב תבלין)
Speckled|SPECKLED	מנוקד, מנומר
Spelt	סוג של חיטה
Spice|Spices	תבלין, ניחוח<BR>(פ') לתבל
Spice Parisienne|SpiceParisienne|epices fines|epicesfines	תערובת תבלינים ועשבי תיבול ייחודית הכוללת פלפל לבן, אולספייס, אגוז מוסקט, ציפורן ועוד
Spigola|bar	לברק (דג מאכל)
Spinach|Spinash	תרד (ירק)
new potatoes	תפוחי אדמה צעירים וקטנים
Spirit|spirit	כוהל, ספירט (באנגליה : אלכוהול)
Splinters|splinter|splinters	שבבים<BR>(פ') לפצל לשבבים, לשבור לרסיסים
Split|split	חצוי<BR>(פ') לחצות
Sponge Cake|Sponge|SpongeCake	עוגת ספוג
Spoom|spuma	ספום - שרבט אוורירי - מקפיאים תערובת של סירופ סוכר, מיצי פירות ושמפניה. בחצי הדרך לקפיאה מוסיפים קצף ביצים לתערובת
Spoonbread|spoon bread|spoonbread	לחם שיבולת שועל\\תירס בעל טקסטורת פודינג
Spork	"כף מזלגית" קרי כף שקצותיה משוננים כמזלג.
Sprat|sprat	שפרוט, סלתנית (דג מאכל)
Spray|spray	ספריי, רסס, רסיסי טיפות וגם ענף קטן פורח<BR>(פ') לרסס, להזליף
Spread|Spreads	ממרח<BR>(פ') למרוח
Spread out|spread out|spreadout	משוטח, מרודד
Spring roll|spring roll|springroll	אגרול צמחוני - מעטפת בצק דק כנייר ופריך ממולאת בתערובת ירקות וביצים ומטוגנת בשמן עמוק.
Springerle|springerle	ממתק גרמני לחג המולד - עוגייה מעוטרת בטעם אניס
Springform pan|springform pan	תבנית אפיה קפיצית (ניתן לשחרר את התחתית מהדפנות- נח להגשת עוגות)
Sprinkle|Sprinkled|Sprinkling|sprinkled	(פ') לבזוק, לזרות, לפזר, לזלף<BR>(ש'ע) מעט, קורטוב, קומץ, קורט
Spritz|spritz	"שפריץ" - קילוח\\נתז (מנוזל)
Spritzer|spritzer	"ספריצר" - משקה צונן מיין וסודה
Sprout|sprout|sprouts	נבטים
Spumante|spumante|spumanti	סוג של יין איטלקי לבן
Spumoni|spumoni	גלידה איטלקית המכילה פירות ואגוזים קצוצים
Spun sugar|spun sugar|spunsugar	סיבים דקים של סוכר מוקשה רתוח לעיטור קינוחים
Squab|squab	יונה מבויתת צעירה (כבת ארבעה שבועות)
Squash|Skuash	דלעת, קישוא (ירק מאכל)<BR>(פ') למעוך
Squid|Calamar|Calamari|Calmari|Squids	קלמארי (דיונון)
Squirt|squirt	(פ') להתיז, להזליף
St. Peter Fish|Saint Peter's|Saint Peter's fish|St. Peter	מושט, אמנון (דג מאכל)
Stabilizer|stabilizer|stabilizers	מייצב
Stainless steel|stainless steel|stainlesssteel	פלדת אל-חלד
Stale|stale	עבש, לא טרי
Stalks|stalk|stalks	גבעול (למשל של סלרי)
Stamp and Go	(ג'אמייקה) -כינוי למנה מסורתית של דגים מטוגנים עטופים בבלילה ("שניצל דג")
Starchy|starchy	עמילני
Starters|Starter	מנות ראשונות
Steamed|a la vapeur|cuire a la vapeur|cuire ala vapeur|steam|steamed|steaming|stim|stiming	מאודה, מעלה אדים<BR>(פ') להעלות אדים, לבשל תוך אידוי\nמצרפתית : cuire a la vapeur
Steep|steep|steeping	(פ') להשרות, להרוות, להספיג
Stellini|stelle|stellini	כוכבי פסטה
Stem|Stems	גזע, גבעול, פטוטרת<BR>(פ') להוציא הגבעול (כמו בתותים)<BR>
Stemmed|stemmed	שהגבעול הוצא מהם<BR>
Stew|etuver|stewed|stewing|stu	נזיד, תבשיל<BR>(פ') לבשל\\להתבשל לאורך זמן רב ברתיחה איטית
Stifado|stifado	תבשיל יווני מבשר בקר\\כבש, בצלים, עגבניות, יין, שום, קינמון ואורגנו
Stiffly|stiffly	עד לנוקשות
Stinger|stinger	סטינגר - קוקטייל המכיל חצי קוניאק\\ברנדי וחצי ליקר מנטה לבן
Stir In|StirIn	(פ') להוסיף תוך כדי בחישה לבלילה.
Stir-fry|Stir fry|Stirfry	(פ') לטגן קלות על אש גבוהה (מעט שמן ובחישה מתמדת)
Stirring|stir|stirring	בחישה, ערבוב<BR>(פ') לבחוש בתנועות מעגליות
Stock	מרק בשר/עוף צח\nוגם משק חי
Stollen|stollen	לחם פירות יבשים עשיר מסורתי לחג המולד בגרמניה
Stoneware|stoneware	כלי חרס המיוצרים בחום גבוה במיוחד ולרב מגיעים עם זיגוג. אידיאלים לאפיה ובישול איטי וממושך
Store|stored	(פ') לאחסן<BR>
Stout	בירה כהה וחזקה משעורים קלויים, שיכר לתת
Straight up|straight up	נקי, ללא קרח (בהקשר של קוקטיילים ושוטים של אלכוהול)
Strain|strain	(פ') לסנן
Strainer|strainer	מסננת
Strands|Strand	גדילי חוטים, סיבים, שיער
straw|straws	קשית, קש
bites|bite	ביסונים, נגיסונים, נגיסה, ביס
Capon|Capons|cap?n|cappone|chapon	תרנגול מפוטם מסורס
? la fran?aise|? la fran?ais|?la fran?aise|French style|a la francaise|a la francesa|ala francaise|alla francese|francaise|francesa|francese|franz?sischer	מונח קולינרי שפירושו "בסגנון צרפתי" ומשמעו : מוגש עם חסה ובצל.
alla pizzaiola|? lapizzaiola|a la pizzaiola|pizzaiola	מונח קולינרי שפירושו "ברוטב עגבניות"
en papillote|al cartoccio	מונח קולינרי שפירושו "בנייר כסף"
Strawberries|strawberries|strawberry	תות-שדה, תות-גינה
Strawberries Romanoff|Romanoff|strawberries Romanoff|strawberriesRomanoff	קינוח - משרים תותים במיץ תפוזים וקואנטרו או קוראסאו (ליקר תפוז), ומגישים עם קצפת
Strega	סטרייגה - ליקר איטלקי זהוב מעשבי תיבול ופרחים בעל מתקתק ו"פרחוני".
Streusel|streusel	שטרויזול - ציפוי פירורים (מסוכר, קמח וחמאה) לעוגות קפה, לחמים ועוגות.
steak tartare|Bistecca alla tartara|Steak tartar|a la t?rtara|cannibal mound|tartar steak	סטייק טרטר - בשר טחון נא בליווי ביצה מקושקשת חיה ותערובת בצלים, אנשובי וצלפים קצוצים
charcoal|charcoals	פחם
bleak|Ablettes|Alborelle|Albures|bleaks|ìáðåï	לבנון (דג מאכל)
String bean|haricot vert|haricots verts|haricotsverts|string beans|stringbean|stringbeans|ùòåòéú éøå÷ä	שעועית ירוקה\nבצרפתית : haricots verts (הריקו ור)
Striped Bass|Striped Bas|StripedBass	בס (דג מאכל)
Strips|strip|stripes	רצועות
Stromboli|stromboli	"הקלזונה של פילדלפיה" - סנדביץ' סגור מבצק פיצה, המכיל גבינה (לרב מוצרלה) ופפרוני
Strudel|Shtrudel|ëøåëéú|ùèøåãì	שטרודל, כרוכית
Stud|Stad|Studs	מינוח קולינרי שמשמעו הוספת מוצרים משפרי-טעם או דקורטיביים כשבבי שקדים מולבנים, כוכבי אניס, פרחי ציפורן וכדומה למזון כקישוט (ע"י "נטיעתם" על המשטח העליון)
Stuff|Stuf	(פ') למלא, לדחוס
Stuffed|stufed	(ת') ממולא (למשל האמריקאים נוהגים למלא תרנגול הודו בחג ההודיה).
Stuffed Vegetables|Stuffed|StuffedVegetables	"ממולאים"<BR>שם כללי לירקות שמילאו אותם בבשר, באורז או במלית אחרת ובישלו\\אפו אותם.<BR>
Sturgeon|sturgeon|çéã÷ï	חידקן (דג מאכל שמביציו מפיקים קוויאר)
Style|styled|styling	סגנון, סטייל<BR>(פ') לסגנן, לעצב
Su|soo	חומץ אורז יפני עדין ומתקתק קלות
Sublime|sublimed	נפלא, מעודן, מרומם<BR>(פ') לזכך, לעדן, להפוך מוצק ישירות לגז או להפך
Substitute|substitute	תחליף, חליפי<BR>(פ') להחליף, להמיר
Subtle|sutle	עדין
Succotash|sucotash	סוקוטש - תבשיל אינדיאני מתירס ושעועיות לימה
Sucralose|Splendar	ממתיק מלאכותי המתוק פי 600 מסוכר<BR>משווק באוסטרליה וקנדה תחת השם : <I>Splendar</I><BR>
Sucrose|sucroze|ñåëøåæä	סכרוזה, סוכרוזה, סוכר-קנה (סוכר המופק מקני סוכר)
Suet|sue	סואיט - שומן לבן קשה המצוי בכבשים, בקר וכדומה.<BR>מקורו באזור הכליות והחלציים.
Sukiyaki|sukiiaki	מנה יפנית הכוללת קוביות בשר וירקות ולעיתים אף טריות וטופו מוקפצים ברוטב סויה, מירין ודאשי. לפני כל נגיסה טובלים בביצה מקושקת חיה. באופן מסורתי המנה מוכנת לעיני הסועדים לצד השולחן.
Sulfites|sulfites	סולפיט, מלחי חומצה גופרתית
Sultana|sultana	זן של ענבים קטנים ירקרקים זהובים שמקורם בטורקיה. בעיקר מגודלים במטרה להפכם לצימוקים
Sumac|sumac[|sumach|sumaq	סומאק, סומך (תבלין)
Summer pudding|summer pudding	"פודינג של קיץ", קינוח בריטי - מבשלים קצרות תותי יער טריים עם סוכר, מצננים ומניחים במרכז תבנית שרופדה בפרוסות לחם. מכסים בפרוסות לחם נוספות, מכסים בצלחת ומניחים במקרר ללילה. מגישים לצד קצפת.
Sumptuous|sumptuous	טעים
Sun-Dried Tomatoes|Sun Dried|Sun-Dried|Sun-Dried-Tomatoes|SunDried	עגבניות מיובשות
Sundae|sundae	סאנדי - קינוח אמריקאי קלאסי : כדורי גלידה, קצפת סירופ (שוקולד\\תות\\קרמל או אחר) ואגוזים קצוצים
